tempo,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
13:43.22,,VINCENTI Salvatore,1972,SM,G.A. FIAMME GIALLE,2 su- 1,Cesenatico,2005-06-12,https://www.fidal.it/atleta/VINCENTI-Salvatore/h6iRkpKlcWQ%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
13:43.72,,ZANON Simone,1975,SM,G.S. FIAMME ORO PADOVA,4 su- 1,Cesenatico,2005-06-12,https://www.fidal.it/atleta/ZANON-Simone/eKiRkpKlbWo%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
13:43.83,,LEONE Maurizio,1973,SM,C.S. CARABINIERI SEZ. ATLETICA,5 su- 1,Conegliano,2005-06-17,https://www.fidal.it/atleta/LEONE-Maurizio/eqiRk5OjcGk%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
13:48.75,,LEONE Maurizio,1973,SM,C.S. CARABINIERI SEZ. ATLETICA,5 su- 1,Cesenatico,2005-06-12,https://www.fidal.it/atleta/LEONE-Maurizio/eqiRk5OjcGk%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
13:49.67,,LOMALA Joseph,1982,SM,S G AMSICORA,6 su- 1,Cesenatico,2005-06-12,https://www.fidal.it/atleta/LOMALA-Joseph/iKiSmZWhcWo%3D,https://www.fidal.it/societa/S-G-AMSICORA/CA002
13:52.41,,MASCHERONI Fabio,1977,SM,CALCESTRUZZI CORRADINI EXCELS.,5 su- 1,Ponzano Veneto,2005-07-01,https://www.fidal.it/atleta/MASCHERONI-Fabio/dqiRlZOmcGk%3D,https://www.fidal.it/societa/CALCESTRUZZI-CORRADINI-EXCELS-/RE106
13:53.49,,ZANON Simone,1975,SM,G.S. FIAMME ORO PADOVA,4 su- 1,Pergine Valsugana,2005-07-22,https://www.fidal.it/atleta/ZANON-Simone/eKiRkpKlbWo%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
13:53.60,,GUALDI Giovanni,1979,SM,G.A. FIAMME GIALLE,6 su- 1,Conegliano,2005-06-17,https://www.fidal.it/atleta/GUALDI-Giovanni/dqiRkpamamQ%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
13:53.87,,GUALDI Giovanni,1979,SM,G.A. FIAMME GIALLE,6 su- 1,Ponzano Veneto,2005-07-01,https://www.fidal.it/atleta/GUALDI-Giovanni/dqiRkpamamQ%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
13:56.43,,DE NARD Gabriele,1974,SM,G.A. FIAMME GIALLE,1 se- 1,Vigna Di Valle,2005-05-15,https://www.fidal.it/atleta/DE-NARD-Gabriele/eKiRkpOmcWk%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
13:56.95,,ZANON Simone,1975,SM,G.S. FIAMME ORO PADOVA,7 fi- 1,Almeria,2005-07-02,https://www.fidal.it/atleta/ZANON-Simone/eKiRkpKlbWo%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
13:59.43,,ZANON Simone,1975,SM,G.S. FIAMME ORO PADOVA,9 se- 1,Milano,2005-06-01,https://www.fidal.it/atleta/ZANON-Simone/eKiRkpKlbWo%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
14:00.97,,VINCENTI Salvatore,1972,SM,G.A. FIAMME GIALLE,6 su- 1,Firenze,2005-06-17,https://www.fidal.it/atleta/VINCENTI-Salvatore/h6iRkpKlcWQ%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
14:01.69,,LOMALA Joseph,1982,SM,S G AMSICORA,1 su- 1,Sassari,2005-05-29,https://www.fidal.it/atleta/LOMALA-Joseph/iKiSmZWhcWo%3D,https://www.fidal.it/societa/S-G-AMSICORA/CA002
14:03.62,,MACCAGNAN Mattia,1980,SM,G.A. FIAMME GIALLE,8 su- 1,Conegliano,2005-06-17,https://www.fidal.it/atleta/MACCAGNAN-Mattia/eKiRk5igams%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
14:03.99,,ZANON Simone,1975,SM,G.S. FIAMME ORO PADOVA,1 su- 1,Bressanone,2005-06-25,https://www.fidal.it/atleta/ZANON-Simone/eKiRkpKlbWo%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
14:05.31,,MASCHERONI Fabio,1977,SM,CALCESTRUZZI CORRADINI EXCELS.,1 se- 1,Modena,2005-05-15,https://www.fidal.it/atleta/MASCHERONI-Fabio/dqiRlZOmcGk%3D,https://www.fidal.it/societa/CALCESTRUZZI-CORRADINI-EXCELS-/RE106
14:06.69,,PALUMBO Matteo,1973,SM,C.S. CARABINIERI SEZ. ATLETICA,2 se- 1,Modena,2005-05-15,https://www.fidal.it/atleta/PALUMBO-Matteo/g6iRkpOjcGU%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
14:07.14,,LOMALA Joseph,1982,SM,S G AMSICORA,1 su- 1,Sassari,2005-07-10,https://www.fidal.it/atleta/LOMALA-Joseph/iKiSmZWhcWo%3D,https://www.fidal.it/societa/S-G-AMSICORA/CA002
14:07.35,,DE NARD Gabriele,1974,SM,G.A. FIAMME GIALLE,12 se- 1,Milano,2005-06-01,https://www.fidal.it/atleta/DE-NARD-Gabriele/eKiRkpOmcWk%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
