tempo,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
6:20.19,,ADDAD El mahdi,2003,AM,A.S.D. PIETRO MENNEA ATLETICA,2 se- 1,Agropoli,2019-06-21,https://www.fidal.it/atleta/ADDAD-El-mahdi/gaqRkpOgbmw%3D,https://www.fidal.it/societa/A-S-D--PIETRO-MENNEA-ATLETICA/CH173
6:21.05,,FRAGIACOMO Federico,2001,JM,ATLETICA MALIGNANI LIBERTAS UD,4 su- 1,Udine,2019-04-25,https://www.fidal.it/atleta/FRAGIACOMO-Federico/eauRk5Kmamc%3D,https://www.fidal.it/societa/ATLETICA-MALIGNANI-LIBERTAS-UD/UD030
6:21.14,,GORI Leonardo,2003,AM,ATLETICA WINNER FOLIGNO,3 se- 1,Agropoli,2019-06-21,https://www.fidal.it/atleta/GORI-Leonardo/fqmRkpKob2s%3D,https://www.fidal.it/societa/ATLETICA-WINNER-FOLIGNO/PG070
6:21.58,,GIANDINI Filippo,2002,AM,ATL. PIACENZA,5 su- 1,Bressanone,2019-05-26,https://www.fidal.it/atleta/GIANDINI-Filippo/eq2RkpOnaWM%3D,https://www.fidal.it/societa/ATL--PIACENZA/PC084
6:21.70,,PEDRANA Stefano,2002,AM,G. ALPINISTICO VERTOVESE,1 su- 1,Saronno,2019-05-18,https://www.fidal.it/atleta/PEDRANA-Stefano/dqmRmJKicWM%3D,https://www.fidal.it/societa/G--ALPINISTICO-VERTOVESE/BG135
6:21.95,,PASQUINUCCI Gabriele,2003,AM,ATLETICA FIRENZE MARATHON S.S.,4 se- 1,Agropoli,2019-06-21,https://www.fidal.it/atleta/PASQUINUCCI-Gabriele/faqRkpShbmQ%3D,https://www.fidal.it/societa/ATLETICA-FIRENZE-MARATHON-S-S-/FI002
6:22.59,,TAGLIENTE Fabio,2002,AM,S.A.F.ATLETICA PIEMONTE A.S.D.,3 su- 1,Bergamo,2019-09-28,https://www.fidal.it/atleta/TAGLIENTE-Fabio/dK6RlZmgcWg%3D,https://www.fidal.it/societa/S-A-F-ATLETICA-PIEMONTE-A-S-D-/TO226
6:22.63,,DAL PRA Giulio,2003,AM,ATL.VICENTINA,4 su- 1,Bergamo,2019-09-28,https://www.fidal.it/atleta/DAL-PRA-Giulio/eK6RkpeibGo%3D,https://www.fidal.it/societa/ATL-VICENTINA/VI626
6:22.65,,AUGIMERI Raffaele,2003,AM,ATL. ADEN  EXPRIVIA MOLFETTA,1 se- 1,Molfetta,2019-09-14,https://www.fidal.it/atleta/AUGIMERI-Raffaele/hKmRkpSocGw%3D,https://www.fidal.it/societa/ATL--ADEN-EXPRIVIA-MOLFETTA/BA091
6:22.93,,BRUSA Edoardo,2003,AM,PRO PATRIA A.R.C. BUSTO A.,12 se- 2,Agropoli,2019-06-21,https://www.fidal.it/atleta/BRUSA-Edoardo/drKRk5Wka2k%3D,https://www.fidal.it/societa/PRO-PATRIA-A-R-C--BUSTO-A-/VA121
6:23.15,,TAINO Geremia,2002,AM,CREMONA SPORTIVA ATL. ARVEDI,1 su- 1,Mariano Comense,2019-05-04,https://www.fidal.it/atleta/TAINO-Geremia/dqyRlpmmbmU%3D,https://www.fidal.it/societa/CREMONA-SPORTIVA-ATL--ARVEDI/CR041
6:23.58,,GIANDINI Filippo,2002,AM,ATL. PIACENZA,1 su- 1,Modena,2019-09-21,https://www.fidal.it/atleta/GIANDINI-Filippo/eq2RkpOnaWM%3D,https://www.fidal.it/societa/ATL--PIACENZA/PC084
6:23.62,,LUCCA Suresh,2002,AM,UNIONE SPORTIVA ALBATESE ASD,1 su- 1,Saronno,2019-09-14,https://www.fidal.it/atleta/LUCCA-Suresh/dquRkpmkbGk%3D,https://www.fidal.it/societa/UNIONE-SPORTIVA-ALBATESE-ASD/CO546
6:24.18,,BETTINI Luca,2002,AM,ATLETICA MOGLIANO,5 se- 1,Agropoli,2019-06-21,https://www.fidal.it/atleta/BETTINI-Luca/eKyRk5Khb2M%3D,https://www.fidal.it/societa/ATLETICA-MOGLIANO/TV338
6:24.20,,DA ROLD Patrick,2003,AM,A.ATL.DOLOMITI BELLUNO,1 su- 1,Rosa',2019-09-07,https://www.fidal.it/atleta/DA-ROLD-Patrick/eKmRlJelamc%3D,https://www.fidal.it/societa/A-ATL-DOLOMITI-BELLUNO/BL010
6:24.79,,SPALLETTA Valerio,2003,AM,RCF ROMA SUD,7 su- 1,Bressanone,2019-05-26,https://www.fidal.it/atleta/SPALLETTA-Valerio/f6yRk5alcGU%3D,https://www.fidal.it/societa/RCF-ROMA-SUD/RS195
6:24.92,,CAIANI Cesare,2003,AM,ATL BRUGNERA PN FRIULINTAGLI,5 su- 1,Udine,2019-04-25,https://www.fidal.it/atleta/CAIANI-Cesare/eaqRk5OocWQ%3D,https://www.fidal.it/societa/ATL-BRUGNERA-PN-FRIULINTAGLI/PN039
6:25.02,,PEDRANA Stefano,2002,AM,G. ALPINISTICO VERTOVESE,2 su- 1,Saronno,2019-09-14,https://www.fidal.it/atleta/PEDRANA-Stefano/dqmRmJKicWM%3D,https://www.fidal.it/societa/G--ALPINISTICO-VERTOVESE/BG135
6:25.04,,TAGLIENTE Fabio,2002,AM,S.A.F.ATLETICA PIEMONTE A.S.D.,6 se- 1,Agropoli,2019-06-21,https://www.fidal.it/atleta/TAGLIENTE-Fabio/dK6RlZmgcWg%3D,https://www.fidal.it/societa/S-A-F-ATLETICA-PIEMONTE-A-S-D-/TO226
6:25.05,,SPALLETTA Valerio,2003,AM,RCF ROMA SUD,1 su- 1,Rieti,2019-05-18,https://www.fidal.it/atleta/SPALLETTA-Valerio/f6yRk5alcGU%3D,https://www.fidal.it/societa/RCF-ROMA-SUD/RS195
6:25.28,,GORI Leonardo,2003,AM,ATLETICA WINNER FOLIGNO,4 su- 1,Roma,2019-09-28,https://www.fidal.it/atleta/GORI-Leonardo/fqmRkpKob2s%3D,https://www.fidal.it/societa/ATLETICA-WINNER-FOLIGNO/PG070
6:25.29,,DA ROLD Patrick,2003,AM,A.ATL.DOLOMITI BELLUNO,7 se- 1,Agropoli,2019-06-21,https://www.fidal.it/atleta/DA-ROLD-Patrick/eKmRlJelamc%3D,https://www.fidal.it/societa/A-ATL-DOLOMITI-BELLUNO/BL010
6:25.42,,MATTA Davide,2002,AM,ATLETICA GIO' 22 RIVERA,8 su- 1,Bressanone,2019-05-26,https://www.fidal.it/atleta/MATTA-Davide/dK6RlpalamY%3D,https://www.fidal.it/societa/ATLETICA-GIO-22-RIVERA/TO004
6:25.63,,MATTA Davide,2002,AM,ATLETICA GIO' 22 RIVERA,1 su- 1,Torino,2019-09-14,https://www.fidal.it/atleta/MATTA-Davide/dK6RlpalamY%3D,https://www.fidal.it/societa/ATLETICA-GIO-22-RIVERA/TO004
6:25.81,,DE BARBA Mattia,2002,AM,ANA ATL.FELTRE,13 se- 2,Agropoli,2019-06-21,https://www.fidal.it/atleta/DE-BARBA-Mattia/eKmRlJSiamo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
6:25.90,,CINCINI Gianmarco,2002,AM,FIAMME GIALLE G. SIMONI,1 su- 1,Roma,2019-06-08,https://www.fidal.it/atleta/CINCINI-Gianmarco/f6yRlJOmbmY%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
6:26.17,,GIANDINI Filippo,2002,AM,ATL. PIACENZA,1 su- 1,Piacenza,2019-05-04,https://www.fidal.it/atleta/GIANDINI-Filippo/eq2RkpOnaWM%3D,https://www.fidal.it/societa/ATL--PIACENZA/PC084
6:26.92,,TAGLIENTE Fabio,2002,AM,S.A.F.ATLETICA PIEMONTE A.S.D.,2 su- 1,Torino,2019-09-14,https://www.fidal.it/atleta/TAGLIENTE-Fabio/dK6RlZmgcWg%3D,https://www.fidal.it/societa/S-A-F-ATLETICA-PIEMONTE-A-S-D-/TO226
6:26.98,,CAIANI Cesare,2003,AM,ATL BRUGNERA PN FRIULINTAGLI,1 su- 1,San Vito Al Tagliamento,2019-09-21,https://www.fidal.it/atleta/CAIANI-Cesare/eaqRk5OocWQ%3D,https://www.fidal.it/societa/ATL-BRUGNERA-PN-FRIULINTAGLI/PN039
6:27.09,,CANINO Giovanni,2002,AM,A.S.D. C.U.S. PALERMO,1 su- 1,Siracusa,2019-09-14,https://www.fidal.it/atleta/CANINO-Giovanni/h7KRkpOfaWQ%3D,https://www.fidal.it/societa/A-S-D--C-U-S--PALERMO/PA001
6:27.32,,PATTI Nicola,2003,AM,UNIONE GIOVANE BIELLA,3 su- 1,Torino,2019-09-14,https://www.fidal.it/atleta/PATTI-Nicola/dKAAARlJOkcGM%3D,https://www.fidal.it/societa/UNIONE-GIOVANE-BIELLA/VC002
6:27.53,,DAL PRA Giulio,2003,AM,ATL.VICENTINA,2 su- 1,Rosa',2019-09-07,https://www.fidal.it/atleta/DAL-PRA-Giulio/eK6RkpeibGo%3D,https://www.fidal.it/societa/ATL-VICENTINA/VI626
