tempo,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
8:31.8,,FARINA Nastassia,1992,CF,A.S. DIL. POL. ATL. BAGHERIA,1 su- 1,Catania,2007-04-28,https://www.fidal.it/atleta/FARINA-Nastassia/h6iRlZqobmk%3D,https://www.fidal.it/societa/A-S--DIL--POL--ATL--BAGHERIA/PA021
6:35.1,,D'OTTAVIO Renato,1991,AM,GRUPPO SPORTIVO VIRTUS,1 se- 1,Campobasso,2007-07-21,https://www.fidal.it/atleta/D-OTTAVIO-Renato/g6iRkpekcWw%3D,https://www.fidal.it/societa/GRUPPO-SPORTIVO-VIRTUS/CB005
6:26.23,,TSCHURTSCHENTHALER Agnes,1982,SF,ASV  STERZING VB LATELLA NB,1 se- 1,Rovereto,2007-07-12,https://www.fidal.it/atleta/TSCHURTSCHENTHALER-Agnes/iaiRkpSocGw%3D,https://www.fidal.it/societa/ASV-STERZING-VB-LATELLA-NB/BZ013
6:40.29,,ROFFINO Valeria,1990,AF,UNIONE GIOVANE BIELLA,11 se- 1,Ostrava,2007-07-14,https://www.fidal.it/atleta/ROFFINO-Valeria/dKAAARkpqgb2U%3D,https://www.fidal.it/societa/UNIONE-GIOVANE-BIELLA/VC002
6:46.71,,ROFFINO Valeria,1990,AF,UNIONE GIOVANE BIELLA,1 su- 1,Biella,2007-06-05,https://www.fidal.it/atleta/ROFFINO-Valeria/dKAAARkpqgb2U%3D,https://www.fidal.it/societa/UNIONE-GIOVANE-BIELLA/VC002
6:48.6,,LIBERTONE Catia,1986,PF,C.S. ESERCITO,1 se- 1,Campobasso,2007-07-21,https://www.fidal.it/atleta/LIBERTONE-Catia/g6iRkpajbmM%3D,https://www.fidal.it/societa/C-S--ESERCITO/RM052
6:54.54,,ROFFINO Valeria,1990,AF,UNIONE GIOVANE BIELLA,1 su- 1,Vercelli,2007-05-26,https://www.fidal.it/atleta/ROFFINO-Valeria/dKAAARkpqgb2U%3D,https://www.fidal.it/societa/UNIONE-GIOVANE-BIELLA/VC002
6:55.21,,ROFFINO Valeria,1990,AF,UNIONE GIOVANE BIELLA,1 se- 1,Mondovi,2007-05-01,https://www.fidal.it/atleta/ROFFINO-Valeria/dKAAARkpqgb2U%3D,https://www.fidal.it/societa/UNIONE-GIOVANE-BIELLA/VC002
6:57.78,,CHIUSOLE Veronica,1972,SF35,U.S. QUERCIA ROVERETO,3 se- 1,Rovereto,2007-07-12,https://www.fidal.it/atleta/CHIUSOLE-Veronica/d6iRkpKhamU%3D,https://www.fidal.it/societa/U-S--QUERCIA-ROVERETO/TN109
7:01.19,,CHIUSOLE Veronica,1972,SF35,U.S. QUERCIA ROVERETO,1 su- 1,Riccione,2007-09-15,https://www.fidal.it/atleta/CHIUSOLE-Veronica/d6iRkpKhamU%3D,https://www.fidal.it/societa/U-S--QUERCIA-ROVERETO/TN109
7:06.21,,ROFFINO Valeria,1990,AF,UNIONE GIOVANE BIELLA,1 se- 2,Cesenatico,2007-10-06,https://www.fidal.it/atleta/ROFFINO-Valeria/dKAAARkpqgb2U%3D,https://www.fidal.it/societa/UNIONE-GIOVANE-BIELLA/VC002
7:17.71,,MARTINELLI Giulia,1991,AF,ATL. STUDENTESCA CA.RI.RI,2 se- 2,Cesenatico,2007-10-06,https://www.fidal.it/atleta/MARTINELLI-Giulia/f6iRmJKmaWY%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
7:18.66,,COLI' Lucia,1990,AF,C.U.S. BOLOGNA,3 se- 2,Cesenatico,2007-10-06,https://www.fidal.it/atleta/COLI-Lucia/eqiRlZSncGg%3D,https://www.fidal.it/societa/C-U-S--BOLOGNA/BO008
7:19.47,,BERELLINI Agnese,1990,AF,FONDIARIA - SAI ATLETICA,4 se- 2,Cesenatico,2007-10-06,https://www.fidal.it/atleta/BERELLINI-Agnese/f6iRl5embWs%3D,https://www.fidal.it/societa/FONDIARIA-SAI-ATLETICA/RM131
