tempo,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
24:16.5,,CIPOLLA Domenico,1990,CM,POL. WILMA RUDOLPH MT,1 su- 1,Matera,2005-10-15,https://www.fidal.it/atleta/CIPOLLA-Domenico/haiRk5OjaWw%3D,https://www.fidal.it/societa/POL--WILMA-RUDOLPH-MT/MT097
25:19.8,,DICHIO Christohpher,1991,CM,ECOSPORT SB. 2000 MONTE CSAIN,2 su- 1,Matera,2005-10-15,https://www.fidal.it/atleta/DICHIO-Christohpher/haiRk5KoaWU%3D,https://www.fidal.it/societa/ECOSPORT-SB--2000-MONTE-CSAIN/MT088
28:40.5,,CONGIA Andrea,1990,CM,ATL LA GHIANDA SANLURI,1 se- 1,Terralba,2005-10-30,https://www.fidal.it/atleta/CONGIA-Andrea/iKiRk5mjcWw%3D,https://www.fidal.it/societa/ATL-LA-GHIANDA-SANLURI/CA175
29:41.6,,CONGIA Andrea,1990,CM,ATL LA GHIANDA SANLURI,1 su- 1,Carbonia,2005-05-07,https://www.fidal.it/atleta/CONGIA-Andrea/iKiRk5mjcWw%3D,https://www.fidal.it/societa/ATL-LA-GHIANDA-SANLURI/CA175
31:43.47,,FOGLIA Sara,1990,CF,ASS.ATL.LIBERTAS ORVIETO,1 se- 1,Sulmona,2005-10-02,https://www.fidal.it/atleta/FOGLIA-Sara/fqiRk5imbWU%3D,https://www.fidal.it/societa/ASS-ATL-LIBERTAS-ORVIETO/TR024
20:02.24,,RUBINO Giorgio,1986,JM,G.A. FIAMME GIALLE,1 su- 1,Velletri,2005-07-03,https://www.fidal.it/atleta/RUBINO-Giorgio/f6iRlpakamU%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
20:03.6,,DE LUCA Marco,1981,SM,G.A. FIAMME GIALLE,1 su- 1,Matera,2005-09-02,https://www.fidal.it/atleta/DE-LUCA-Marco/f6iRkpWgaGs%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
20:10.33,,MANFREDINI Andrea,1978,SM,G.A. FIAMME GIALLE,2 su- 1,Velletri,2005-07-03,https://www.fidal.it/atleta/MANFREDINI-Andrea/faiRkpSfa2M%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
20:26.66,,NKOULOUKIDI Jean jacques,1982,SM,G.A. FIAMME GIALLE,3 su- 1,Velletri,2005-07-03,https://www.fidal.it/atleta/NKOULOUKIDI-Jean-jacques/f6iRlJKlaGQ%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
20:33.23,,CAFAGNA Diego,1975,SM,C.S. CARABINIERI SEZ. ATLETICA,1 se- 1,Gorizia,2005-05-08,https://www.fidal.it/atleta/CAFAGNA-Diego/eaiRkpKia2Q%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
20:42.68,,LANG Enrico,1972,SM,C.S. FORESTALE,1 su- 1,Roma,2005-06-12,https://www.fidal.it/atleta/LANG-Enrico/f6iRkpKkbWY%3D,https://www.fidal.it/societa/C-S--FORESTALE/RI224
20:54.77,,SCHWAZER Alex,1984,PM,C.S. CARABINIERI SEZ. ATLETICA,1 se- 1,Lugano,2005-09-10,https://www.fidal.it/atleta/SCHWAZER-Alex/iaiRkpWmaWc%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
21:28.29,,PALUMBO Gian piero,1981,SM,LIB. POL. AMAT. ATL. BN,1 su- 1,Catania,2005-05-27,https://www.fidal.it/atleta/PALUMBO-Gian-piero/gKiRlJKgamo%3D,https://www.fidal.it/societa/LIB--POL--AMAT--ATL--BN/BN026
21:34.28,,RUBINO Giorgio,1986,JM,G.A. FIAMME GIALLE,1 su- 1,Marsiglia,2005-08-06,https://www.fidal.it/atleta/RUBINO-Giorgio/f6iRlpakamU%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
21:41.8,,PIERRI Donato,1987,JM,ECOSPORT SB. 2000 MONTE CSAIN,3 su- 1,Matera,2005-09-02,https://www.fidal.it/atleta/PIERRI-Donato/hKiSmJuka2s%3D,https://www.fidal.it/societa/ECOSPORT-SB--2000-MONTE-CSAIN/MT088
21:43.1,,GIUPPONI Matteo,1988,AM,ATL. BERGAMO 1959,1 su- 1,Abano Terme,2005-05-14,https://www.fidal.it/atleta/GIUPPONI-Matteo/dqmRlpmgaGs%3D,https://www.fidal.it/societa/ATL--BERGAMO-1959/BG003
21:43.29,,GIUPPONI Matteo,1988,AM,ATL. BERGAMO 1959,1 se- 1,Konstanz,2005-09-10,https://www.fidal.it/atleta/GIUPPONI-Matteo/dqmRlpmgaGs%3D,https://www.fidal.it/societa/ATL--BERGAMO-1959/BG003
22:03.88,,CATTANEO Stefano,1987,JM,ATL. BERGAMO 1959,3 su- 1,Marsiglia,2005-08-06,https://www.fidal.it/atleta/CATTANEO-Stefano/dqiRlpOma2U%3D,https://www.fidal.it/societa/ATL--BERGAMO-1959/BG003
22:09.5,,RONCHI Mauro,1966,SM35,ATL. RIGOLETTO,1 su- 1,Carpi,2005-04-16,https://www.fidal.it/atleta/RONCHI-Mauro/dqiRk5Ohbmo%3D,https://www.fidal.it/societa/ATL--RIGOLETTO/MN406
22:10.3,,PALUMBO Gian piero,1981,SM,LIB. POL. AMAT. ATL. BN,1 su- 1,Benevento,2005-10-23,https://www.fidal.it/atleta/PALUMBO-Gian-piero/gKiRlJKgamo%3D,https://www.fidal.it/societa/LIB--POL--AMAT--ATL--BN/BN026
22:10.37,,NEVELLI Lorenzo,1985,PM,ATLETICA VERCELLI 78,1 su- 1,Milano,2005-06-12,https://www.fidal.it/atleta/NEVELLI-Lorenzo/dKmRk5amaGw%3D,https://www.fidal.it/societa/ATLETICA-VERCELLI-78/VC004
