tempo,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
51:44,,GARGANO Matteo,1993,AM,AMATORI ATL. ACQUAVIVA,13 su- 1,Melfi,2010-09-12,https://www.fidal.it/atleta/GARGANO-Matteo/hKmRkpOgcGw%3D,https://www.fidal.it/societa/AMATORI-ATL--ACQUAVIVA/BA005
51:48,,ZACCARIA Fabio,1992,JM,ECOSPORT SB. 2000 MONTE ASC,12 su- 1,Grottammare,2010-10-24,https://www.fidal.it/atleta/ZACCARIA-Fabio/hKqSmZOfcGs%3D,https://www.fidal.it/societa/ECOSPORT-SB--2000-MONTE-ASC/MT088
51:56,,TARQUINI Luca,1994,AM,FIAMME GIALLE G. SIMONI,7 su- 1,Lanuvio,2010-05-23,https://www.fidal.it/atleta/TARQUINI-Luca/f6iRmJOobWc%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
52:00,,FOCANTI Francesco,1993,AM,AREA - PIERMARINI ARREDAMENTI,16 su- 1,Grottammare,2010-10-24,https://www.fidal.it/atleta/FOCANTI-Francesco/f6iRmZqha2o%3D,https://www.fidal.it/societa/AREA-PIERMARINI-ARREDAMENTI/RM113
52:05,,MELI Ashebir,1993,AM,ATL. BERGAMO 1959 CREBERG,4 su- 1,Villa Di Serio,2010-10-17,https://www.fidal.it/atleta/MELI-Ashebir/dqmRl5mja2M%3D,https://www.fidal.it/societa/ATL--BERGAMO-1959-CREBERG/BG003
52:18,,GANUCCI Mattia,1990,PM,TOSCANA ATLETICA CARIPIT,5 su- 1,Villar Dora,2010-04-18,https://www.fidal.it/atleta/GANUCCI-Mattia/faiRm5KkbWc%3D,https://www.fidal.it/societa/TOSCANA-ATLETICA-CARIPIT/FI018
52:19,,ALICINO Saverio,1993,AM,A.S.D. ATLETICA DON MILANI,14 su- 1,Melfi,2010-09-12,https://www.fidal.it/atleta/ALICINO-Saverio/hK2RkpKlbmY%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-DON-MILANI/TA451
52:33,,MINEI Vito,1994,AM,A.S.D. ATLETICA DON MILANI,17 su- 1,Grottammare,2010-10-24,https://www.fidal.it/atleta/MINEI-Vito/hK2RkpKgcGU%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-DON-MILANI/TA451
52:39,,PAVEI Gaspare,1987,SM,A.ATL.DOLOMITI BELLUNO,13 su- 1,Borgo Valsugana,2010-05-30,https://www.fidal.it/atleta/PAVEI-Gaspare/eKiRk5unaGc%3D,https://www.fidal.it/societa/A-ATL-DOLOMITI-BELLUNO/BL010
52:41,,FORNER Gianni,1979,SM,ATL.LIB.'TONON' S.P.A VITTORIO,9 su- 1,Villar Dora,2010-04-18,https://www.fidal.it/atleta/FORNER-Gianni/eKiRkpWjcGc%3D,https://www.fidal.it/societa/ATL-LIB--TONON-S-P-A-VITTORIO/TV347
52:53,,CERA Salvatore ippazio,1993,AM,A.S.D. ATLETICA DON MILANI,18 su- 1,Grottammare,2010-10-24,https://www.fidal.it/atleta/CERA-Salvatore-ippazio/hK2RkpKfaGs%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-DON-MILANI/TA451
53:02,,CENNERAZZO Stefano,1992,JM,A.S.D. FRANCESCO FRANCIA,2 su- 1,Villa Di Serio,2010-10-17,https://www.fidal.it/atleta/CENNERAZZO-Stefano/eqiRlZOmamw%3D,https://www.fidal.it/societa/A-S-D--FRANCESCO-FRANCIA/BO015
53:08,,FORNER Gianni,1979,SM,ATL.LIB.'TONON' S.P.A VITTORIO,14 su- 1,Borgo Valsugana,2010-05-30,https://www.fidal.it/atleta/FORNER-Gianni/eKiRkpWjcGc%3D,https://www.fidal.it/societa/ATL-LIB--TONON-S-P-A-VITTORIO/TV347
53:10,,GUGLIELMI Giacomo,1994,AM,ATLETICA LIVORNO,19 su- 1,Grottammare,2010-10-24,https://www.fidal.it/atleta/GUGLIELMI-Giacomo/faiSkpSnaGs%3D,https://www.fidal.it/societa/ATLETICA-LIVORNO/LI036
53:19,,CAVATAIO Baldassare,1994,AM,A.S.D. C.U.S. PALERMO,9 se- 1,Lugano,2010-03-14,https://www.fidal.it/atleta/CAVATAIO-Baldassare/h6mRkpKfcGk%3D,https://www.fidal.it/societa/A-S-D--C-U-S--PALERMO/PA001
53:27,,LEUCI Antonio,1994,AM,ATL. AMATORI CISTERNINO,20 su- 1,Grottammare,2010-10-24,https://www.fidal.it/atleta/LEUCI-Antonio/hKqSmZOfaWo%3D,https://www.fidal.it/societa/ATL--AMATORI-CISTERNINO/BR104
53:31,,MACCI Emanuele,1994,AM,E.SERVIZI ATL. FUTURA ROMA,8 su- 1,Lanuvio,2010-05-23,https://www.fidal.it/atleta/MACCI-Emanuele/f6iRmZKna2o%3D,https://www.fidal.it/societa/E-SERVIZI-ATL--FUTURA-ROMA/RM555
53:31,,PETRUNGARO Rosario,1958,SM50,SS ATL ORISTANO,15 su- 1,Borgo Valsugana,2010-05-30,https://www.fidal.it/atleta/PETRUNGARO-Rosario/f6iRkpKhbWs%3D,https://www.fidal.it/societa/SS-ATL-ORISTANO/OR030
53:46,,QUACQUARELLI Giuseppe,1993,AM,A.S.D. ATLETICA DON MILANI,15 su- 1,Melfi,2010-09-12,https://www.fidal.it/atleta/QUACQUARELLI-Giuseppe/hKiSmpSlbmM%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-DON-MILANI/TA451
54:00,,SORGI Tiziano,1993,AM,ATL. STUDENTESCA CA.RI.RI,21 su- 1,Grottammare,2010-10-24,https://www.fidal.it/atleta/SORGI-Tiziano/f6uRkpKgamc%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
54:09,,GENTILE Giovanni,1984,SM,ECOSPORT SB. 2000 MONTE ASC,16 su- 1,Borgo Valsugana,2010-05-30,https://www.fidal.it/atleta/GENTILE-Giovanni/hKiSmZWhbWo%3D,https://www.fidal.it/societa/ECOSPORT-SB--2000-MONTE-ASC/MT088
54:24,,GENTILE Giovanni,1984,SM,ECOSPORT SB. 2000 MONTE ASC,16 su- 1,Melfi,2010-09-12,https://www.fidal.it/atleta/GENTILE-Giovanni/hKiSmZWhbWo%3D,https://www.fidal.it/societa/ECOSPORT-SB--2000-MONTE-ASC/MT088
54:27,,LUISI Fedele,1993,AM,AMATORI ATL. ACQUAVIVA,22 su- 1,Grottammare,2010-10-24,https://www.fidal.it/atleta/LUISI-Fedele/hKmRkpOjbmw%3D,https://www.fidal.it/societa/AMATORI-ATL--ACQUAVIVA/BA005
54:30,,BUGLIONE Matteo,1994,AM,FIAMME GIALLE G. SIMONI,23 su- 1,Grottammare,2010-10-24,https://www.fidal.it/atleta/BUGLIONE-Matteo/f6iRmJuobmk%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
54:32,,DIDIO Vincenzo,1993,AM,ECOSPORT SB. 2000 MONTE ASC,24 su- 1,Grottammare,2010-10-24,https://www.fidal.it/atleta/DIDIO-Vincenzo/haiRk5WkcWU%3D,https://www.fidal.it/societa/ECOSPORT-SB--2000-MONTE-ASC/MT088
54:42,,GARGANO Matteo,1993,AM,AMATORI ATL. ACQUAVIVA,9 su- 1,Lanuvio,2010-05-23,https://www.fidal.it/atleta/GARGANO-Matteo/hKmRkpOgcGw%3D,https://www.fidal.it/societa/AMATORI-ATL--ACQUAVIVA/BA005
55:00,,BARBIERI Matteo,1991,JM,ATL. ALESSANDRIA,5 su- 1,Villar Dora,2010-04-18,https://www.fidal.it/atleta/BARBIERI-Matteo/dKmRk5elcGg%3D,https://www.fidal.it/societa/ATL--ALESSANDRIA/AL001
55:01,,CERA Salvatore ippazio,1993,AM,A.S.D. ATLETICA DON MILANI,14 su- 1,Campobasso,2010-10-17,https://www.fidal.it/atleta/CERA-Salvatore-ippazio/hK2RkpKfaGs%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-DON-MILANI/TA451
55:33,,PARISI Damiano,1989,PM,ATL.VICENTINA,17 su- 1,Borgo Valsugana,2010-05-30,https://www.fidal.it/atleta/PARISI-Damiano/eKiRlJiobWc%3D,https://www.fidal.it/societa/ATL-VICENTINA/VI626
55:36,,MINEI Vito,1994,AM,A.S.D. ATLETICA DON MILANI,16 su- 1,Campobasso,2010-10-17,https://www.fidal.it/atleta/MINEI-Vito/hK2RkpKgcGU%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-DON-MILANI/TA451
55:41,,MONSORNO Roberto,1994,AM,U.S.D. CERMIS,18 su- 1,Borgo Valsugana,2010-05-30,https://www.fidal.it/atleta/MONSORNO-Roberto/d6iRkpqib2M%3D,https://www.fidal.it/societa/U-S-D--CERMIS/TN113
55:42,,ZACCARIA Fabio,1992,JM,ECOSPORT SB. 2000 MONTE ASC,17 su- 1,Campobasso,2010-10-17,https://www.fidal.it/atleta/ZACCARIA-Fabio/hKqSmZOfcGs%3D,https://www.fidal.it/societa/ECOSPORT-SB--2000-MONTE-ASC/MT088
